,id,description,universe,keyword,unkeyed,edition_type,edition
42,B08536,Aggregate Travel Time to Work (in Minutes) of Workers by Means of Transportation to Work for Workplace Geography,Workers 16 years and over who did not work from home,work,aggregate (in minutes) of time mean travel transportation workplace for work by geography worker to,acs5,2024-10-01
43,B08537,Means of Transportation to Work by Tenure for Workplace Geography,Workers 16 years and over in households,work,mean of transportation workplace tenure work by for geography to,acs5,2024-10-01
44,B07203,Geographical Mobility in the Past Year for Current Residence&#8211;&#8211;Not Metropolitan or Micropolitan Statistical Area Level in the United States,Population 1 year and over not living in a Metropolitan or Micropolitan Statistical Area in the United States,geographical mobility,current in the metropolitan or level mobility geographical past year area statistical micropolitan for residence--not state united,acs5,2024-10-01
45,B08534,Means of Transportation to Work by Travel Time to Work for Workplace Geography,Workers 16 years and over who did not work from home,work,mean of time travel transportation workplace for work by geography to,acs5,2024-10-01
46,B98011,Housing Unit Coverage Rate,Housing units,sample size,rate housing coverage unit,acs5,2024-10-01
47,B25097,Mortgage Status by Median Value (Dollars),Owner-occupied housing units,housing,median status (dollars) by value mortgage,acs5,2024-10-01
48,B07204,"Geographical Mobility in the Past Year for Current Residence&#8211;&#8211;State, County and Place Level in the United States",Population 1 year and over in the United States,geographical mobility,"current in the level mobility geographical past year and place residence--state, for state county united",acs5,2024-10-01
49,B07408PR,Geographical Mobility in the Past Year by Marital Status for Residence 1 Year Ago in Puerto Rico,Population 15 years and over,geographical mobility,in the marital residence mobility geographical past year status 1 ago puerto for by rico,acs5,2024-10-01
50,B07201,Geographical Mobility in the Past Year for Current Residence&#8211;&#8211;Metropolitan Statistical Area Level in the United States,Population 1 year and over living in a Metropolitan Statistical Area in the United States,geographical mobility,current in the level mobility geographical past year area statistical for state residence--metropolitan united,acs5,2024-10-01
51,B08532,Means of Transportation to Work by Time Arriving at Work for Workplace Geography,Workers 16 years and over who did not work from home,work,arriving mean of time transportation workplace for work by geography at to,acs5,2024-10-01
52,B07202,Geographical Mobility in the Past Year for Current Residence&#8211;&#8211;Micropolitan Statistical Area Level in the United States,Population 1 year and over living in a Micropolitan Statistical Area in the United States,geographical mobility,current in the residence--micropolitan level mobility geographical past year area statistical for state united,acs5,2024-10-01
53,B07404APR,Geographical Mobility in the Past Year (White Alone) for Residence 1 Year Ago in Puerto Rico,White alone population 1 year and over,geographical mobility,in the (white residence mobility geographical past year 1 ago puerto alone) for rico,acs5,2024-10-01
54,B17019,Poverty Status in the Past 12 Months of Families by Household Type by Tenure,Families,poverty status,in the household status past of 12 type tenure by month poverty family,acs5,2024-10-01
55,B17004,Poverty Status in the Past 12 Months of Individuals by Sex by Work Experience,Population 16 years and over for whom poverty status is determined,poverty status,individual in the status past of 12 experience sex by work month poverty,acs5,2024-10-01
56,B17005,Poverty Status in the Past 12 Months of Individuals by Sex by Employment Status,Civilian population 16 years and over for whom poverty status is determined,poverty status,individual in the status past of 12 employment sex by month poverty,acs5,2024-10-01
57,B17006,Poverty Status in the Past 12 Months of Related Children Under 18 Years by Family Type by Age of Related Children Under 18 Years,Related children under 18 years,poverty status,related in the child status past year of 12 type age under by 18 month poverty family,acs5,2024-10-01
58,B17007,Poverty Status in the Past 12 Months of Unrelated Individuals 15 Years and Over by Sex by Age,Unrelated individuals 15 years and over for whom poverty status is determined,poverty status,individual in the unrelated 15 status past year of and 12 age over sex by month poverty,acs5,2024-10-01
59,B07012PR,Geographical Mobility in the Past Year by Poverty Status in the Past 12 Months for Current Residence in Puerto Rico,Population 1 year and over in Puerto Rico for whom poverty status is determined,geographical mobility,current in the residence mobility geographical past year status puerto 12 for by month poverty rico,acs5,2024-10-01
60,B18101I,Age by Disability Status (Hispanic or Latino),Hispanic or Latino civilian noninstitutionalized population,disability status,or latino) status (hispanic age by disability,acs5,2024-10-01
61,B17001,Poverty Status in the Past 12 Months by Sex by Age,Population for whom poverty status is determined,poverty status,in the status past 12 age sex by month poverty,acs5,2024-10-01
62,B17003,Poverty Status in the Past 12 Months of Individuals by Sex by Educational Attainment,Population 25 years and over for whom poverty status is determined,poverty status,individual in the educational status past attainment of 12 sex by month poverty,acs5,2024-10-01
63,B08303,Travel Time to Work,Workers 16 years and over who did not work from home,work,travel work time to,acs5,2024-10-01
64,B98022,Group Quarters Population Response and Nonresponse Rates With Reasons for Noninterviews,Population in group quarters,sample size,nonresponse population and noninterviews rate group for response quarter with reason,acs5,2024-10-01
65,B98021,Housing Unit Response and Nonresponse Rates With Reasons for Noninterviews,Housing units,sample size,nonresponse housing and noninterviews rate for response with reason unit,acs5,2024-10-01
66,B08301,Means of Transportation to Work,Workers 16 years and over,work,mean of transportation work to,acs5,2024-10-01
67,B08302,Time of Departure to Go to Work,Workers 16 years and over who did not work from home,work,of time go departure work to,acs5,2024-10-01
68,B08541,Means of Transportation to Work by Vehicles Available for Workplace Geography,Workers 16 years and over in households,work,available mean of transportation workplace for work by geography vehicle to,acs5,2024-10-01
69,B17008,Aggregate Income Deficit (Dollars) in the Past 12 Months of Unrelated Individuals by Sex,Unrelated individuals with incomes in the past 12 months below the poverty level,poverty status,aggregate individual in the unrelated past (dollars) of deficit 12 by month income sex,acs5,2024-10-01
70,B17009,Poverty Status by Work Experience of Unrelated Individuals by Householder Status,Unrelated individuals for whom poverty status is determined,poverty status,individual unrelated householder status of experience work by poverty,acs5,2024-10-01
71,B25053,Tenure by Kitchen Facilities,Occupied housing units,housing,kitchen tenure by facility,acs5,2024-10-01
72,B05008,Sex by Place of Birth by Year of Entry for the Foreign&#8211;Born Population,Foreign-born population,foreign born,population the place of year foreign-born for by entry sex birth,acs5,2024-10-01
73,B05007,Place of Birth by Year of Entry by Citizenship Status for the Foreign&#8211;Born Population,Foreign-born population,foreign born,population the status year place of foreign-born citizenship for by entry birth,acs5,2024-10-01
74,B06004HPR,"Place of Birth (White Alone, Not Hispanic or Latino) in Puerto Rico","White alone, not Hispanic or Latino population in Puerto Rico",place of birth,"rico in (white or latino) place of puerto not hispanic alone, birth",acs5,2024-10-01
75,B08519,Means of Transportation to Work by Workers' Earnings in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) for Workplace Geography,Workers 16 years and over with earnings,work,in past earnings mean by 2022 the of transportation (in dollars) 12 for work geography month to inflation-adjusted workplace workers',acs5,2024-10-01
76,B05009,Age and Nativity of Own Children Under 18 Years in Families and Subfamilies by Number and Nativity of Parents,Own children under 18 years in families and subfamilies,foreign born,number in child and year of subfamily parent age nativity under by 18 family own,acs5,2024-10-01
77,B05004,Median Age by Nativity and Citizenship Status by Sex,Total population,foreign born,median status and age nativity citizenship by sex,acs5,2024-10-01
78,B05006,Place of Birth for the Foreign&#8211;Born Population in the United States,Foreign-born population excluding population born at sea,foreign born,population the in place of foreign-born for state united birth,acs5,2024-10-01
79,B25099,Mortgage Status by Median Household Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars),Owner-occupied housing units,housing,household in the median inflation-adjusted (in status past dollars) 12 by 2022 month income mortgage,acs5,2024-10-01
80,B05005,Period of Entry by Nativity and Citizenship Status in the United States,Population born outside the United States,foreign born,in the status and period of nativity citizenship by state entry united,acs5,2024-10-01
81,B08513,Means of Transportation to Work by Language Spoken at Home and Ability to Speak English for Workplace Geography,Workers 16 years and over,work,spoken english and speak mean of language home transportation workplace for work by ability geography at to,acs5,2024-10-01
82,B25098,Mortgage Status by Household Income in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars),Owner-occupied housing units,housing,household in the inflation-adjusted (in status past dollars) 12 by 2022 month income mortgage,acs5,2024-10-01
83,B08511,Means of Transportation to Work by Citizenship Status for Workplace Geography,Workers 16 years and over,work,status mean of transportation citizenship for work by workplace geography to,acs5,2024-10-01
84,B05002,Place of Birth by Nativity and Citizenship Status,Total population,foreign born,status and place of nativity citizenship by birth,acs5,2024-10-01
85,B05001,Nativity and Citizenship Status in the United States,Total population in the United States,foreign born,in the status and nativity citizenship state united,acs5,2024-10-01
86,B25091,Mortgage Status by Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months,Owner-occupied housing units,housing,household in the status owner past of monthly percentage cost 12 by selected month income a mortgage,acs5,2024-10-01
87,B25090,Mortgage Status by Aggregate Real Estate Taxes Paid (Dollars),Owner-occupied housing units,housing,aggregate paid status mortgage (dollars) estate by tax real,acs5,2024-10-01
88,B25093,Age of Householder by Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months,Owner-occupied housing units,housing,household in the householder past owner of monthly percentage age cost 12 by selected month income a,acs5,2024-10-01
89,B25092,Median Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months,Owner-occupied housing units,housing,household in the median past owner of monthly percentage cost 12 selected month income a,acs5,2024-10-01
90,B25095,Household Income by Selected Monthly Owner Costs as a Percentage of Household Income in the Past 12 Months,Owner-occupied housing units,housing,household in the past owner of monthly percentage cost 12 by selected month income a,acs5,2024-10-01
91,B25094,Selected Monthly Owner Costs,Owner-occupied housing units,housing,selected cost owner monthly,acs5,2024-10-01
92,B07004DPR,Geographical Mobility in the Past Year (Asian Alone) for Current Residence in Puerto Rico,Asian alone population 1 year and over in Puerto Rico,geographical mobility,current in the residence mobility geographical past year (asian puerto alone) for rico,acs5,2024-10-01
93,B26103G,Group Quarters Type (3 Types) (Two or More Races),People who are Two or More Races,group quarters,more or group type types) quarter (3 races) (two,acs5,2024-10-01
94,B26103F,Group Quarters Type (3 Types) (Some Other Race Alone),People who are Some Other Race alone,group quarters,group type types) other quarter race (3 (some alone),acs5,2024-10-01
95,B26103I,Group Quarters Type (3 Types) (Hispanic or Latino),People who are Hispanic or Latino,group quarters,or latino) (hispanic group type types) quarter (3,acs5,2024-10-01
96,B26103H,"Group Quarters Type (3 Types) (White Alone, Not Hispanic or Latino)","White alone, not Hispanic or Latino population",group quarters,"(white or latino) hispanic group type types) not quarter (3 alone,",acs5,2024-10-01
97,B26103C,Group Quarters Type (3 Types) (American Indian and Alaska Native Alone),People who are American Indian and Alaska Native alone,group quarters,alaska (american and group type types) alone) quarter (3 indian native,acs5,2024-10-01
98,B26103B,Group Quarters Type (3 Types) (Black or African American Alone),People who are Black or African American alone,group quarters,or (black american african group type types) alone) quarter (3,acs5,2024-10-01
99,B26103E,Group Quarters Type (3 Types) (Native Hawaiian and Other Pacific Islander Alone),People who are Native Hawaiian and Other Pacific Islander alone,group quarters,hawaiian and group type types) other quarter pacific (3 islander alone) (native,acs5,2024-10-01
100,B26103D,Group Quarters Type (3 Types) (Asian Alone),People who are Asian alone,group quarters,(asian group type types) alone) quarter (3,acs5,2024-10-01
101,B98002,Unweighted Group Quarters Population Sample,Population in group quarters,sample size,population unweighted group quarter sample,acs5,2024-10-01
102,B98001,Unweighted Housing Unit Sample,Housing units,sample size,unweighted housing sample unit,acs5,2024-10-01
103,B26103A,Group Quarters Type (3 Types) (White Alone),People who are White alone,group quarters,(white group type types) alone) quarter (3,acs5,2024-10-01
104,B08528,Means of Transportation to Work by Class of Worker for Workplace Geography,Workers 16 years and over,work,class mean of transportation workplace for work by geography worker to,acs5,2024-10-01
105,B98003,Unweighted Total Population Sample,Total population,sample size,unweighted sample population total,acs5,2024-10-01
106,B05015,Place of Birth by Year of Entry for the Foreign&#8211;Born Population,Foreign-born population excluding population born at sea,foreign born,population the year place of foreign-born for by entry birth,acs5,2024-10-01
107,B25086,Aggregate Price Asked (Dollars),"Vacant-for-sale-only and sold, not occupied housing units",housing,aggregate (dollars) price asked,acs5,2024-10-01
108,B27023,Private Health Insurance by Sex by Enrollment Status for Young Adults Aged 19 to 25,Civilian noninstitutionalized population 19 to 25 years,health insurance,insurance young adult aged 19 status health enrollment private for by 25 sex to,acs5,2024-10-01
109,B05014,Sex by Age for the Foreign&#8211;Born Population,Foreign-born population,foreign born,population the foreign-born age for by sex,acs5,2024-10-01
110,B08526,Means of Transportation to Work by Industry for Workplace Geography,Workers 16 years and over,work,mean of transportation workplace for work by geography industry to,acs5,2024-10-01
111,B25085,Price Asked,"Vacant-for-sale-only and sold, not occupied housing units",housing,asked price,acs5,2024-10-01
112,B25088,Median Selected Monthly Owner Costs (Dollars) by Mortgage Status,Owner-occupied housing units,housing,median status owner (dollars) monthly cost by selected mortgage,acs5,2024-10-01
113,B27022,Health Insurance Coverage Status by Sex by Enrollment Status for Young Adults Aged 19 to 25,Civilian noninstitutionalized population 19 to 25 years,health insurance,insurance young adult aged 19 status health enrollment for by 25 sex coverage to,acs5,2024-10-01
114,B08524,Means of Transportation to Work by Occupation for Workplace Geography,Workers 16 years and over,work,occupation mean of transportation workplace for work by geography to,acs5,2024-10-01
115,B25087,Mortgage Status and Selected Monthly Owner Costs,Owner-occupied housing units,housing,status and owner monthly cost selected mortgage,acs5,2024-10-01
116,B05011,Period of Naturalization,Foreign-born population,foreign born,naturalization period of,acs5,2024-10-01
117,B08521,Median Earnings in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) by Means of Transportation to Work for Workplace Geography,Workers 16 years and over with earnings,work,in past earnings mean 2022 by the of transportation median (in dollars) 12 for work geography month to inflation-adjusted workplace,acs5,2024-10-01
118,B25014I,Occupants per Room (Hispanic or Latino Householder),Occupied housing units with a householder who is Hispanic or Latino,housing,or per (hispanic occupant latino room householder),acs5,2024-10-01
119,B01001F,Sex by Age (Some Other Race Alone),People who are Some Other Race alone,population,age race other alone) by (some sex,acs5,2024-10-01
120,B05010,Ratio of Income to Poverty Level in the Past 12 Months by Nativity of Children Under 18 Years in Families and Subfamilies by Living Arrangements and Nativity of Parents,Own children under 18 years in families and subfamilies for whom poverty status is determined,foreign born,in past year parent ratio by 18 family the of under arrangement child and 12 month living to level subfamily nativity income poverty,acs5,2024-10-01
121,B08522,Means of Transportation to Work by Poverty Status in the Past 12 Months for Workplace Geography,Workers 16 years and over for whom poverty status is determined,work,in the status past mean of 12 transportation workplace for work by geography month poverty to,acs5,2024-10-01
122,B25089,Aggregate Selected Monthly Owner Costs (Dollars) by Mortgage Status,Owner-occupied housing units,housing,aggregate status owner (dollars) monthly cost by selected mortgage,acs5,2024-10-01
123,B25014H,"Occupants per Room (White Alone, Not Hispanic or Latino Householder)","Occupied housing units with a householder who is White alone, not Hispanic or Latino",housing,"(white or per occupant hispanic latino not room householder) alone,",acs5,2024-10-01
124,B01001G,Sex by Age (Two or More Races),People who are Two or More Races,population,races) more or age by sex (two,acs5,2024-10-01
125,B05013,Sex by Age for the Foreign&#8211;Born Population,Foreign-born population,foreign born,population the foreign-born age for by sex,acs5,2024-10-01
126,B25014G,Occupants per Room (Two or More Races Householder),Occupied housing units with a householder who is Two or More Races,housing,more or per occupant race room householder) (two,acs5,2024-10-01
127,B01001H,"Sex by Age (White Alone, Not Hispanic or Latino)","White alone, not Hispanic or Latino population",population,"(white or latino) age not by hispanic sex alone,",acs5,2024-10-01
128,B05012,Nativity in the United States,Total population in the United States,foreign born,the in nativity state united,acs5,2024-10-01
129,B25014F,Occupants per Room (Some Other Race Alone Householder),Occupied housing units with a householder who is Some Other Race alone,housing,alone per occupant race other room (some householder),acs5,2024-10-01
130,B01001I,Sex by Age (Hispanic or Latino),People who are Hispanic or Latino,population,or latino) (hispanic age by sex,acs5,2024-10-01
131,B25014E,Occupants per Room (Native Hawaiian and Other Pacific Islander Alone Householder),Occupied housing units with a householder who is Native Hawaiian and Other Pacific Islander alone,housing,alone per hawaiian and occupant pacific other islander room householder) (native,acs5,2024-10-01
132,B01001B,Sex by Age (Black or African American Alone),People who are Black or African American alone,population,or (black american african age alone) by sex,acs5,2024-10-01
133,B25014D,Occupants per Room (Asian Alone Householder),Occupied housing units with a householder who is Asian alone,housing,alone per (asian occupant room householder),acs5,2024-10-01
134,B01001C,Sex by Age (American Indian and Alaska Native Alone),People who are American Indian and Alaska Native alone,population,native alaska (american and age alone) by indian sex,acs5,2024-10-01
135,B25080,Aggregate Value (Dollars) by Units in Structure,Owner-occupied housing units,housing,aggregate in structure (dollars) by value unit,acs5,2024-10-01
136,B25014C,Occupants per Room (American Indian and Alaska Native Alone Householder),Occupied housing units with a householder who is American Indian and Alaska Native alone,housing,alaska alone (american per and occupant room indian native householder),acs5,2024-10-01
137,B01001D,Sex by Age (Asian Alone),People who are Asian alone,population,(asian age alone) by sex,acs5,2024-10-01
138,B25014B,Occupants per Room (Black or African American Alone Householder),Occupied housing units with a householder who is Black or African American alone,housing,alone or (black per american african occupant room householder),acs5,2024-10-01
139,B01001E,Sex by Age (Native Hawaiian and Other Pacific Islander Alone),People who are Native Hawaiian and Other Pacific Islander alone,population,hawaiian and age pacific other alone) by islander sex (native,acs5,2024-10-01
140,B25082,Aggregate Value (Dollars) by Mortgage Status,Owner-occupied housing units,housing,aggregate status (dollars) by value mortgage,acs5,2024-10-01
141,B25014A,Occupants per Room (White Alone Householder),Occupied housing units with a householder who is White alone,housing,alone (white per occupant room householder),acs5,2024-10-01
142,B27020,Health Insurance Coverage Status and Type by Citizenship Status,Civilian noninstitutionalized population,health insurance,insurance status health and type citizenship by coverage,acs5,2024-10-01
143,B25083,Median Value (Dollars) for Mobile Homes,Owner-occupied mobile homes,housing,median mobile (dollars) home for value,acs5,2024-10-01
144,B01001A,Sex by Age (White Alone),People who are White alone,population,(white age alone) by sex,acs5,2024-10-01
145,B12007C,Median Age at First Marriage (American Indian and Alaska Native Alone),American Indian and Alaska Native alone population 15 to 54 years,marital status,alaska median (american and age marriage alone) indian at first native,acs5,2024-10-01
146,B12007B,Median Age at First Marriage (Black or African American Alone),Black or African American alone population 15 to 54 years,marital status,median or (black american african age marriage alone) at first,acs5,2024-10-01
147,B07003PR,Geographical Mobility in the Past Year by Sex for Current Residence in Puerto Rico,Population 1 year and over in Puerto Rico,geographical mobility,current in the residence mobility geographical past year puerto for by sex rico,acs5,2024-10-01
148,B12007A,Median Age at First Marriage (White Alone),White alone population 15 to 54 years,marital status,(white median age marriage alone) at first,acs5,2024-10-01
149,B18140,Median Earnings in the Past 12 Months (in 2022 Inflation&#8211;Adjusted Dollars) by Disability Status by Sex for the Civilian Noninstitutionalized Population 16 Years and Over With Earnings,Civilian noninstitutionalized population 16 years and over with earnings in the past 12 months,disability status,population in civilian past earnings year 2022 by with the status sex noninstitutionalized median 16 (in and dollars) 12 for month disability inflation-adjusted over,acs5,2024-10-01
150,B07009,Geographical Mobility in the Past Year by Educational Attainment for Current Residence in the United States,Population 25 years and over in the United States,geographical mobility,current in the educational residence mobility geographical past year attainment for by state united,acs5,2024-10-01
151,B07008,Geographical Mobility in the Past Year by Marital Status for Current Residence in the United States,Population 15 years and over in the United States,geographical mobility,current in the marital residence mobility geographical past year status for by state united,acs5,2024-10-01
152,B07007,Geographical Mobility in the Past Year by Citizenship Status for Current Residence in the United States,Population 1 year and over in the United States,geographical mobility,current in the residence mobility geographical past year status citizenship for by state united,acs5,2024-10-01
153,B07002,Median Age by Geographical Mobility in the Past Year for Current Residence in the United States,Population 1 year and over in the United States,geographical mobility,current in the median residence mobility geographical past year age for by state united,acs5,2024-10-01
154,B01002G,Median Age by Sex (Two or More Races),People who are Two or More Races,population,races) median or more age by sex (two,acs5,2024-10-01
155,B07001,Geographical Mobility in the Past Year by Age for Current Residence in the United States,Population 1 year and over in the United States,geographical mobility,current in the residence mobility geographical past year age for by state united,acs5,2024-10-01
156,B01002H,"Median Age by Sex (White Alone, Not Hispanic or Latino)","White alone, not Hispanic or Latino population",population,"(white median or latino) age not by hispanic sex alone,",acs5,2024-10-01
157,B01002I,Median Age by Sex (Hispanic or Latino),People who are Hispanic or Latino,population,median or latino) (hispanic age by sex,acs5,2024-10-01
158,B07003,Geographical Mobility in the Past Year by Sex for Current Residence in the United States,Population 1 year and over in the United States,geographical mobility,current in the residence mobility geographical past year for by state united sex,acs5,2024-10-01
159,B01002C,Median Age by Sex (American Indian and Alaska Native Alone),People who are American Indian and Alaska Native alone,population,native alaska median (american and age alone) by indian sex,acs5,2024-10-01
160,B01002D,Median Age by Sex (Asian Alone),People who are Asian alone,population,median (asian age alone) by sex,acs5,2024-10-01
161,B07404CPR,Geographical Mobility in the Past Year (American Indian and Alaska Native Alone) for Residence 1 Year Ago in Puerto Rico,American Indian and Alaska Native alone population 1 year and over,geographical mobility,in the alaska residence mobility geographical past year (american and 1 ago puerto alone) for indian native rico,acs5,2024-10-01
162,B12007I,Median Age at First Marriage (Hispanic or Latino),Hispanic or Latino population 15 to 54 years,marital status,median or latino) (hispanic age marriage at first,acs5,2024-10-01
163,B01002E,Median Age by Sex (Native Hawaiian and Other Pacific Islander Alone),People who are Native Hawaiian and Other Pacific Islander alone,population,median hawaiian and age pacific other alone) by islander sex (native,acs5,2024-10-01
164,B12007H,"Median Age at First Marriage (White Alone, Not Hispanic or Latino)","White alone, not Hispanic or Latino population 15 to 54 years",marital status,"(white median or latino) age marriage not hispanic at first alone,",acs5,2024-10-01
